,Unnamed: 0,Unnamed: 0.1,title,abstract,categories,created,id,doi,authors,year,month
0,242,242,Biased Hypothesis Formation From Projection Pursuit,"The effect of bias on hypothesis formation is characterized for an automated
data-driven projection pursuit neural network to extract and select features
for binary classification of data streams. This intelligent exploratory process
partitions a complete vector state space into disjoint subspaces to create
working hypotheses quantified by similarities and differences observed between
two groups of labeled data streams. Data streams are typically time sequenced,
and may exhibit complex spatio-temporal patterns. For example, given atomic
trajectories from molecular dynamics simulation, the machine's task is to
quantify dynamical mechanisms that promote function by comparing protein
mutants, some known to function while others are nonfunctional. Utilizing
synthetic two-dimensional molecules that mimic the dynamics of functional and
nonfunctional proteins, biases are identified and controlled in both the
machine learning model and selected training data under different contexts. The
refinement of a working hypothesis converges to a statistically robust
multivariate perception of the data based on a context-dependent perspective.
Including diverse perspectives during data exploration enhances
interpretability of the multivariate characterization of similarities and
differences.","['cs.LG', 'physics.bio-ph', 'q-bio.BM', 'stat.ML']",2022-01-03,2201.00889,,"['John Patterson', 'Chris Avery', 'Tyler Grear', 'Donald J. Jacobs']",2022,1
1,316,316,Nanowars can cause epidemic resurgence and fail to promote cooperation,"In a non-sustainable, ""over-populated"" world, what might the use of
nanotechnology-based targeted, autonomous weapons mean for the future of
humanity? In order to gain some insights, we make a simplified game-theoretical
thought experiment. We consider a population where agents play the public goods
game, and where in parallel an epidemic unfolds. Agents that are infected
defectors are killed with a certain probability and replaced by susceptible
cooperators. We show that such ""nanowars"", even if aiming to promote good
behavior and planetary health, fail not only to promote cooperation, but they
also significantly increase the probability of repetitive epidemic waves. In
fact, newborn cooperators turn out to be easy targets for defectors in their
neighborhood. Therefore, counterintuitively, the discussed intervention may
even have the opposite effect as desired, promoting defection. We also find a
critical threshold for the death rate of infected defectors, beyond which
resurgent epidemic waves become a certainty. In conclusion, we urgently call
for international regulation of nanotechnology and autonomous weapons.","['physics.soc-ph', 'cs.AI', 'q-bio.PE']",2022-01-12,2201.04747,,"['Dirk Helbing', 'Matjaž Perc']",2022,1
2,328,328,How Smart Should a Forager Be?,"We introduce an idealized model of an intelligent forager in which higher
intelligence corresponds to a larger spatial range over which the forager can
detect food. Such a forager diffuses randomly whenever the nearest food is more
distant than the forager's detection range, $R$, and moves ballistically
towards the nearest food inside its detection range. Concomitantly, the
forager's metabolic energy cost per step is an increasing function of its
intelligence. A dumb forager wanders randomly and may miss nearby food, thus
making it susceptible to starvation. Conversely, a too-smart forager incurs a
large metabolic cost per step during its search for food and is again
susceptible to starvation. We show that the forager's lifetime is maximized at
an optimal, intermediate level of intelligence.","['physics.bio-ph', 'cond-mat.stat-mech', 'q-bio.QM']",2022-01-13,2201.05254,,"['U. Bhat', 'S. Redner']",2022,1
3,327,327,Neural Circuit Architectural Priors for Embodied Control,"Artificial neural networks for simulated motor control and robotics often
adopt generic architectures like fully connected MLPs. While general, these
tabula rasa architectures rely on large amounts of experience to learn, are not
easily transferable to new bodies, and have internal dynamics that are
difficult to interpret. In nature, animals are born with highly structured
connectivity in their nervous systems shaped by evolution; this innate
circuitry acts synergistically with learning mechanisms to provide inductive
biases that enable most animals to function well soon after birth and improve
abilities efficiently. Convolutional networks inspired by visual circuitry have
encoded useful biases for vision. However, it is unknown the extent to which
ANN architectures inspired by neural circuitry can yield useful biases for
other domains. In this work, we ask what advantages biologically inspired
network architecture can provide in the context of motor control. Specifically,
we translate C. elegans circuits for locomotion into an ANN model controlling a
simulated Swimmer agent. On a locomotion task, our architecture achieves good
initial performance and asymptotic performance comparable with MLPs, while
dramatically improving data efficiency and requiring orders of magnitude fewer
parameters. Our architecture is more interpretable and transfers to new body
designs. An ablation analysis shows that principled excitation/inhibition is
crucial for learning, while weight initialization contributes to good initial
performance. Our work demonstrates several advantages of ANN architectures
inspired by systems neuroscience and suggests a path towards modeling more
complex behavior.","['cs.LG', 'cs.NE', 'cs.RO', 'q-bio.NC']",2022-01-13,2201.05242,,"['Nikhil X. Bhattasali', 'Anthony M. Zador', 'Tatiana A. Engel']",2022,1
4,326,326,"Continuous limits of large plant-pollinator random networks and some
  applications","We study a stochastic individual-based model of interacting plant and
pollinator species through a bipartite graph: each species is a node of the
graph, an edge representing interactions between a pair of species. The
dynamics of the system depends on the between- and within-species interactions:
pollination by insects increases plant reproduction rate but has a cost which
can increase plant death rate, depending on pollinators density. Pollinators
reproduction is increased by the resources harvested on plants. Each species is
characterized by a trait corresponding to its degree of generalism. This trait
determines the structure of the interactions graph and the quantity of
resources exchanged between species. Our model includes in particular nested or
modular networks. Deterministic approximations of the stochastic measure-valued
process by systems of ordinary differential equations or integro-differential
equations are established and studied, when the population is large or when the
graph is dense and can be replaced with a graphon. The long-time behaviors of
these limits are studied and central limit theorems are established to quantify
the difference between the discrete stochastic individual-based model and the
deterministic approximations. Finally, studying the continuous limits of the
interaction network and the resulting PDEs, we show that nested
plant-pollinator communities are expected to collapse towards a coexistence
between a single pair of species of plants and pollinators.","['math.PR', 'math.AP', 'q-bio.PE']",2022-01-13,2201.05219,,"['Sylvain Billiard', 'Hélène Leman', 'Thomas Rey', 'Viet Chi Tran']",2022,1
5,325,325,"Multiple Genome Analytics Framework: The Case of All SARS-CoV-2 Complete
  Variants","Pattern detection and string matching are fundamental problems in computer
science and the accelerated expansion of bioinformatics and computational
biology have made them a core topic for both disciplines. The SARS-CoV-2
pandemic has made such problems more demanding with hundreds or thousands of
new genome variants discovered every week, because of constant mutations, and
there is a desperate need for fast and accurate analyses. The requirement for
computational tools for genomic analyses, such as sequence alignment, is very
important, although, in most cases the resources and computational power
required are enormous. The presented Multiple Genome Analytics Framework
combines data structures and algorithms, specifically built for text mining and
pattern detection, that can help to efficiently address several computational
biology and bioinformatics problems concurrently with minimal resources. A
single execution of advanced algorithms, with space and time complexity
O(nlogn), is enough to acquire knowledge on all repeated patterns that exist in
multiple genome sequences and this information can be used from other
meta-algorithms for further meta-analyses. The potential of the proposed
framework is demonstrated with the analysis of more than 300,000 SARS-CoV-2
genome sequences and the detection of all repeated patterns with length up to
60 nucleotides in these sequences. These results have been used to provide
answers to questions such as common patterns among all variants, sequence
alignment, palindromes and tandem repeats detection, different organism genome
comparisons, polymerase chain reaction primers detection, etc.","['q-bio.GN', 'cs.DS']",2022-01-13,2201.05198,,['Konstantinos Xylogiannopoulos'],2022,1
6,324,324,"Depth Normalization of Small RNA Sequencing: Using Data and Biology to
  Select a Suitable Method","Deep sequencing has become one of the most popular tools for transcriptome
profiling in biomedical studies. While an abundance of computational methods
exists for ""normalizing"" sequencing data to remove unwanted between-sample
variations due to experimental handling, there is no consensus on which
normalization is the most suitable for a given data set. To address this
problem, we developed ""DANA"" - an approach for assessing the performance of
normalization methods for microRNA sequencing data based on biology-motivated
and data-driven metrics. Our approach takes advantage of well-known biological
features of microRNAs for their expression pattern and chromosomal clustering
to simultaneously assess (1) how effectively normalization removes handling
artifacts, and (2) how aptly normalization preserves biological signals. With
DANA, we confirm that the performance of eight commonly used normalization
methods vary widely across different data sets and provide guidance for
selecting a suitable method for the data at hand. Hence, it should be adopted
as a routine preprocessing step (preceding normalization) for microRNA
sequencing data analysis. DANA is implemented in R and publicly available at
https://github.com/LXQin/DANA.","['q-bio.GN', 'q-bio.QM', 'stat.ME']",2022-01-13,2201.05055,,"['Yannick Düren', 'Johannes Lederer', 'Li-Xuan Qin']",2022,1
7,323,323,A probabilistic analysis of shotgun sequencing for metagenomics,"Genome sequencing is the basis for many modern biological and medicinal
studies. With recent technological advances, metagenomics has become a problem
of interest. This problem entails the analysis and reconstruction of multiple
DNA sequences from different sources. Shotgun genome sequencing works by
breaking up long DNA sequences into shorter segments called reads. Given this
collection of reads, one would like to reconstruct the original collection of
DNA sequences. For experimental design in metagenomics, it is important to
understand how the minimal read length necessary for reliable reconstruction
depends on the number and characteristics of the genomes involved. Utilizing
simple probabilistic models for each DNA sequence, we analyze the
identifiability of collections of M genomes of length N in an asymptotic regime
in which N tends to infinity and M may grow with N. Our first main result
provides a threshold in terms of M and N so that if the read length exceeds the
threshold, then a simple greedy algorithm successfully reconstructs the full
collection of genomes with probability tending to one. Our second main result
establishes a lower threshold in terms of M and N such that if the read length
is shorter than the threshold, then reconstruction of the full collection of
genomes is impossible with probability tending to one.","['math.PR', 'q-bio.GN']",2022-01-13,2201.05029,,['Marlee Herring'],2022,1
8,322,322,"Context binning, model clustering and adaptivity for data compression of
  genetic data","Rapid growth of genetic databases means huge savings from improvements in
their data compression, what requires better inexpensive statistical models.
This article proposes automatized optimizations e.g. of Markov-like models,
especially context binning and model clustering. While it is popular to cut low
bits of context, proposed context binning optimizes such reduction as tabled:
state=bin[context] determining probability distribution, this way extracting
nearly all useful information also from very large contexts, into a small
number of states. Model clustering uses k-means clustering in space of general
statistical models, allowing to optimize a few models (as cluster centroids) to
be chosen e.g. separately for each read. There are also briefly discussed some
adaptivity techniques to include data non-stationarity. This article is work in
progress, to be expanded in the future.","['cs.IT', 'math.IT', 'q-bio.GN']",2022-01-13,2201.05028,,['Jarek Duda'],2022,1
9,321,321,"Stem-loop formation drives RNA folding in mechanical unzipping
  experiments","Accurate knowledge of RNA hybridization is essential for understanding RNA
structure and function. Here we mechanically unzip and rezip a 2-kbp RNA
hairpin and derive the 10 nearest-neighbor base pair (NNBP) RNA free energies
in sodium and magnesium with 0.1 kcal/mol precision using optical tweezers.
Notably, force-distance curves (FDCs) exhibit strong irreversible effects with
hysteresis and several intermediates, precluding the extraction of the NNBP
energies with currently available methods. The combination of a suitable RNA
synthesis with a tailored pulling protocol allowed us to obtain the fully
reversible FDCs necessary to derive the NNBP energies. We demonstrate the
equivalence of sodium and magnesium free-energy salt corrections at the level
of individual NNBP. To characterize the irreversibility of the
unzipping-rezipping process, we introduce a barrier energy landscape of the
stem-loop structures forming along the complementary strands, which compete
against the formation of the native hairpin. This landscape correlates with the
hysteresis observed along the FDCs. RNA sequence analysis shows that base
stacking and base pairing stabilize the stem-loops that kinetically trap the
long-lived intermediates observed in the FDC. Stem-loops formation appears as a
general mechanism to explain a wide range of behaviors observed in RNA folding.","['q-bio.BM', 'physics.bio-ph', 'physics.comp-ph']",2022-01-13,2201.04992,10.1073/pnas.2025575119,"['Paolo Rissone', 'Cristiano Valim Bizarro', 'Felix Ritort']",2022,1
