,title,abstract,categories,created,authors
0,"A Markov Decision Process Framework for Efficient and Implementable
  Contact Tracing and Isolation","Efficient contact tracing and isolation is an effective strategy to control
epidemics. It was used effectively during the Ebola epidemic and successfully
implemented in several parts of the world during the ongoing COVID-19 pandemic.
An important consideration in contact tracing is the budget on the number of
individuals asked to quarantine -- the budget is limited for socioeconomic
reasons. In this paper, we present a Markov Decision Process (MDP) framework to
formulate the problem of using contact tracing to reduce the size of an
outbreak while asking a limited number of people to quarantine. We formulate
each step of the MDP as a combinatorial problem, MinExposed, which we
demonstrate is NP-Hard; as a result, we develop an LP-based approximation
algorithm. Though this algorithm directly solves MinExposed, it is often
impractical in the real world due to information constraints. To this end, we
develop a greedy approach based on insights from the analysis of the previous
algorithm, which we show is more interpretable. A key feature of the greedy
algorithm is that it does not need complete information of the underlying
social contact network. This makes the heuristic implementable in practice and
is an important consideration. Finally, we carry out experiments on simulations
of the MDP run on real-world networks, and show how the algorithms can help in
bending the epidemic curve while limiting the number of isolated individuals.
Our experimental results demonstrate that the greedy algorithm and its variants
are especially effective, robust, and practical in a variety of realistic
scenarios, such as when the contact graph and specific transmission
probabilities are not known. All code can be found in our GitHub repository:
https://github.com/gzli929/ContactTracing.","['cs.CY', 'cs.SI']",2021-12-31,"['George Li', 'Arash Haddadan', 'Ann Li', 'Madhav Marathe', 'Aravind Srinivasan', 'Anil Vullikanti', 'Zeyu Zhao']"
1,Deconfounded Visual Grounding,"We focus on the confounding bias between language and location in the visual
grounding pipeline, where we find that the bias is the major visual reasoning
bottleneck. For example, the grounding process is usually a trivial
language-location association without visual reasoning, e.g., grounding any
language query containing sheep to the nearly central regions, due to that most
queries about sheep have ground-truth locations at the image center. First, we
frame the visual grounding pipeline into a causal graph, which shows the
causalities among image, query, target location and underlying confounder.
Through the causal graph, we know how to break the grounding bottleneck:
deconfounded visual grounding. Second, to tackle the challenge that the
confounder is unobserved in general, we propose a confounder-agnostic approach
called: Referring Expression Deconfounder (RED), to remove the confounding
bias. Third, we implement RED as a simple language attention, which can be
applied in any grounding method. On popular benchmarks, RED improves various
state-of-the-art grounding methods by a significant margin. Code will soon be
available at: https://github.com/JianqiangH/Deconfounded_VG.","['cs.CV', 'cs.CL']",2021-12-31,"['Jianqiang Huang', 'Yu Qin', 'Jiaxin Qi', 'Qianru Sun', 'Hanwang Zhang']"
2,Binary Diffing as a Network Alignment Problem via Belief Propagation,"In this paper, we address the problem of finding a correspondence, or
matching, between the functions of two programs in binary form, which is one of
the most common task in binary diffing. We introduce a new formulation of this
problem as a particular instance of a graph edit problem over the call graphs
of the programs. In this formulation, the quality of a mapping is evaluated
simultaneously with respect to both function content and call graph
similarities. We show that this formulation is equivalent to a network
alignment problem. We propose a solving strategy for this problem based on
max-product belief propagation. Finally, we implement a prototype of our
method, called QBinDiff, and propose an extensive evaluation which shows that
our approach outperforms state of the art diffing tools.","['cs.LG', 'cs.AI', 'stat.ML']",2021-12-31,"['Elie Mengin', 'Fabrice Rossi']"
3,"Improved Algorithm for the Network Alignment Problem with Application to
  Binary Diffing","In this paper, we present a novel algorithm to address the Network Alignment
problem. It is inspired from a previous message passing framework of Bayati et
al. [2] and includes several modifications designed to significantly speed up
the message updates as well as to enforce their convergence. Experiments show
that our proposed model outperforms other state-of-the-art solvers. Finally, we
propose an application of our method in order to address the Binary Diffing
problem. We show that our solution provides better assignment than the
reference differs in almost all submitted instances and outline the importance
of leveraging the graphical structure of binary programs.","['cs.LG', 'cs.DC', 'stat.ML']",2021-12-31,"['Elie Mengin', 'Fabrice Rossi']"
4,"Using Graph-Aware Reinforcement Learning to Identify Winning Strategies
  in Diplomacy Games (Student Abstract)","This abstract proposes an approach towards goal-oriented modeling of the
detection and modeling complex social phenomena in multiparty discourse in an
online political strategy game. We developed a two-tier approach that first
encodes sociolinguistic behavior as linguistic features then use reinforcement
learning to estimate the advantage afforded to any player. In the first tier,
sociolinguistic behavior, such as Friendship and Reasoning, that speakers use
to influence others are encoded as linguistic features to identify the
persuasive strategies applied by each player in simultaneous two-party
dialogues. In the second tier, a reinforcement learning approach is used to
estimate a graph-aware reward function to quantify the advantage afforded to
each player based on their standing in this multiparty setup. We apply this
technique to the game Diplomacy, using a dataset comprising of over 15,000
messages exchanged between 78 users. Our graph-aware approach shows robust
performance compared to a context-agnostic setup.","['cs.CL', 'cs.CY']",2021-12-31,"['Hansin Ahuja', 'Lynnette Hui Xian Ng', 'Kokil Jaidka']"
5,On Distinctive Properties of Universal Perturbations,"We identify properties of universal adversarial perturbations (UAPs) that
distinguish them from standard adversarial perturbations. Specifically, we show
that targeted UAPs generated by projected gradient descent exhibit two
human-aligned properties: semantic locality and spatial invariance, which
standard targeted adversarial perturbations lack. We also demonstrate that UAPs
contain significantly less signal for generalization than standard adversarial
perturbations -- that is, UAPs leverage non-robust features to a smaller extent
than standard adversarial perturbations.","['cs.LG', 'cs.CV']",2021-12-31,"['Sung Min Park', 'Kuo-An Wei', 'Kai Xiao', 'Jerry Li', 'Aleksander Madry']"
6,"Temporal aware Multi-Interest Graph Neural Network For Session-based
  Recommendation","Session-based recommendation (SBR) is a challenging task, which aims at
recommending next items based on anonymous interaction sequences. Despite the
superior performance of existing methods for SBR, there are still several
limitations: (i) Almost all existing works concentrate on single interest
extraction and fail to disentangle multiple interests of user, which easily
results in suboptimal representations for SBR. (ii) Furthermore, previous
methods also ignore the multi-form temporal information, which is significant
signal to obtain current intention for SBR. To address the limitations
mentioned above, we propose a novel method, called \emph{Temporal aware
Multi-Interest Graph Neural Network} (TMI-GNN) to disentangle multi-interest
and yield refined intention representations with the injection of two level
temporal information. Specifically, by appending multiple interest nodes, we
construct a multi-interest graph for current session, and adopt the GNNs to
model the item-item relation to capture adjacent item transitions,
item-interest relation to disentangle the multi-interests, and interest-item
relation to refine the item representation. Meanwhile, we incorporate
item-level time interval signals to guide the item information propagation, and
interest-level time distribution information to assist the scattering of
interest information. Experiments on three benchmark datasets demonstrate that
TMI-GNN outperforms other state-of-the-art methods consistently.",['cs.IR'],2021-12-31,"['Qi Shen', 'Shixuan Zhu', 'Yitong Pang', 'Yiming Zhang', 'Zhihua Wei']"
7,Sufficient Statistic Memory AMP,"Approximate message passing (AMP) is a promising technique for unknown signal
reconstruction of certain high-dimensional linear systems with non-Gaussian
signaling. A distinguished feature of the AMP-type algorithms is that their
dynamics can be rigorously described by state evolution. However, state
evolution does not necessarily guarantee the convergence of iterative
algorithms. To solve the convergence problem of AMP-type algorithms in
principle, this paper proposes a memory AMP (MAMP) under a sufficient statistic
condition, named sufficient statistic MAMP (SS-MAMP). We show that the
covariance matrices of SS-MAMP are L-banded and convergent. Given an arbitrary
MAMP, we can construct an SS-MAMP by damping, which not only ensures the
convergence of MAMP but also preserves the orthogonality of MAMP, i.e., its
dynamics can be rigorously described by state evolution. As a byproduct, we
prove that the Bayes-optimal orthogonal/vector AMP (BO-OAMP/VAMP) is an
SS-MAMP. As a result, we reveal two interesting properties of BO-OAMP/VAMP for
large systems: 1) the covariance matrices are L-banded and are convergent, and
2) damping and memory are useless (i.e., do not bring performance improvement).
As an example, we construct a sufficient statistic Bayes-optimal MAMP
(SS-BO-MAMP), which is Bayes optimal if its state evolution has a unique fixed
point. In addition, the mean square error (MSE) of SS-BO-MAMP is not worse than
the original BO-MAMP. Finally, simulations are provided to verify the validity
and accuracy of the theoretical results.","['cs.IT', 'cs.LG', 'eess.SP', 'math.IT', 'math.ST', 'stat.ML', 'stat.TH']",2021-12-31,"['Lei Liu', 'Shunqi Huang', 'Brian M. Kurkoski']"
8,Toward the Analysis of Graph Neural Networks,"Graph Neural Networks (GNNs) have recently emerged as a robust framework for
graph-structured data. They have been applied to many problems such as
knowledge graph analysis, social networks recommendation, and even Covid19
detection and vaccine developments. However, unlike other deep neural networks
such as Feed Forward Neural Networks (FFNNs), few analyses such as verification
and property inferences exist, potentially due to dynamic behaviors of GNNs,
which can take arbitrary graphs as input, whereas FFNNs which only take fixed
size numerical vectors as inputs.
  This paper proposes an approach to analyze GNNs by converting them into FFNNs
and reusing existing FFNNs analyses. We discuss various designs to ensure the
scalability and accuracy of the conversions. We illustrate our method on a
study case of node classification. We believe that our approach opens new
research directions for understanding and analyzing GNNs.","['cs.SE', 'cs.LG']",2021-12-31,"['Thanh-Dat Nguyen', 'Thanh Le-Cong', 'ThanhVu H. Nguyen', 'Xuan-Bach D. Le', 'Quyet-Thang Huynh']"
9,Data-Driven Optimal Control of Bilinear Systems,"This paper develops a method to learn optimal controls from data for bilinear
systems without a priori knowledge of the system dynamics. Given an unknown
bilinear system, we first characterize when the available data is suitable to
solve the optimal control problem. This characterization leads us to propose an
online control experiment design procedure that guarantees that any input/state
trajectory can be represented as a linear combination of collected input/state
data matrices. Leveraging this data-based representation, we transform the
original optimal control problem into an equivalent data-based optimization
problem with bilinear constraints. We solve the latter by iteratively employing
a convex-concave procedure to convexify it and find a locally optimal control
sequence. Simulations show that the performance of the proposed data-based
approach is comparable with model-based methods.","['math.OC', 'cs.SY', 'eess.SY']",2021-12-31,"['Zhenyi Yuan', 'Jorge Cortes']"
