,title,abstract,categories,created,authors
0,"Proofs of Chappelon and Alfons\'{\i}n Conjectures On Square Frobenius
  Numbers and its Relationship to Simultaneous Pell's Equations","Recently, Chappelon and Alfons\'{\i}n defined the square Frobenius number of
coprime numbers $m$ and $n$ to be the largest perfect square that cannot be
expressed in the form $mx+ny$ for nonnegative integers $x$ and $y$. When $m$
and $n$ differ by $1$ or $2$, they found simple expressions if neither $m$ nor
$n$ is a perfect square. If either $m$ or $n$ is a perfect square, they
formulated some interesting conjectures which have an unexpected close
connection with a known recursive sequence, related to the denominators of
Farey fraction approximations to $\sqrt{2}$. In this note, we prove these
conjectures. Our methods involve solving Pell's equations $x^2-2y^2=1$ and
$x^2-2y^2=-1$. Finally, to complete our proofs of these conjectures, we
eliminate several cases using a bunch of results related to solutions of
simultaneous Pell's equations.",['math.NT'],2021-12-31,['Damanvir Singh Binner']
1,Causal Network Condensation,"In this paper, we introduce a generalized topological quantum field theory
based on the symmetric monoidal category which we call causal network
condensation since it can be regarded as a generalization of spin network
construction of Baez, Turaev-Viro model and causal set theory. In this paper we
introduce some new concepts, including causal network category, causal network
diagrams, and their gauge transformations. Based on these concepts, we
introduce the nerve functor for the symmetric monoidal category. It can be
regarded as a generalization of the nerve functor for simplicial category.","['math.CT', 'hep-th', 'math-ph', 'math.MP']",2021-12-31,"['Xuexing Lu', 'Ziqian Tang']"
2,"Human and Machine Type Communications can Coexist in Uplink Massive MIMO
  Systems","Future cellular networks are expected to support new communication paradigms
such as machine-type communication (MTC) services along with human-type
communication (HTC) services. This requires base stations to serve a large
number of devices in relatively short channel coherence intervals which renders
allocation of orthogonal pilot sequence per-device approaches impractical.
Furthermore, the stringent power constraints, place-and-play type connectivity
and various data rate requirements of MTC devices make it impossible for the
traditional cellular architecture to accommodate MTC and HTC services together.
Massive multiple-input-multiple-output (MaMIMO) technology has the potential to
allow the coexistence of HTC and MTC services, thanks to its inherent spatial
multiplexing properties and low transmission power requirements. In this work,
we investigate the performance of a single cell under a shared physical channel
assumption for MTC and HTC services and propose a novel scheme for sharing the
time-frequency resources. The analysis reveals that MaMIMO can significantly
enhance the performance of such a setup and allow the inclusion of MTC services
into the cellular networks without requiring additional resources.","['cs.IT', 'eess.SP', 'math.IT']",2021-12-31,"['Kamil Senel', 'Emil Björnson', 'Erik G. Larsson']"
3,NOMA Versus Massive MIMO in Rayleigh Fading,"This paper compares the sum rates and rate regions achieved by power-domain
NOMA (non-orthogonal multiple access) and standard massive MIMO (multiple-input
multiple-output) techniques. We prove analytically that massive MIMO always
outperforms NOMA in i.i.d.~Rayleigh fading channels, if a sufficient number of
antennas are used at the base stations. The simulation results show that the
crossing point occurs already when having 20-30 antennas, which is far less
than what is considered for the next generation cellular networks.","['cs.IT', 'eess.SP', 'math.IT']",2021-12-31,"['Kamil Senel', 'Hei Victor Cheng', 'Emil Björnson', 'Erik G. Larsson']"
4,A brief guide for a successful teaching assistantship,"This article provides brief guidance for a successful graduate teaching
assistantship at our school. Although the components mentioned in this article
are primarily aimed at mathematics courses designated as the ""Basic Science and
Mathematics"" (BSM) modules with multiple sections, the principle can also be
applied and adapted to other courses and institutions as well.","['math.HO', 'physics.ed-ph']",2021-12-31,['N. Karjanto']
5,Semi unbounded order convergent in ordered vector spaces,"Let $X$ be an ordered vector space. The net $\{x_\alpha\}\subseteq X$ is semi
unbounded order convergent to $x$ (in symbol $x_\alpha\xrightarrow{suo}x$), if
there is a net $\{y_\beta\}$, possibly over a different index set, such that
$y_\beta \downarrow 0$ and for every $\beta$ there exists $\alpha_0$ such that
$\{\{\pm(x_\alpha - x)\}^u,y\}^l\subseteq \{y_\beta\}^l$, whenever $\alpha \geq
\alpha_0$ and for all $0\leq y \in X$. In vector lattice $E$, semi unbounded
order convergence is equivalent with unbounded order convergence. We study some
properties of this convergence and some of its relationships with others known
order convergence.",['math.FA'],2021-12-31,"['Masoumeh Ebrahimzadeh', 'Kazem Haghnejad Azar']"
6,"Log determinant of large correlation matrices under infinite fourth
  moment","In this paper, we show the central limit theorem for the logarithmic
determinant of the sample correlation matrix $\mathbf{R}$ constructed from the
$(p\times n)$-dimensional data matrix $\mathbf{X}$ containing independent and
identically distributed random entries with mean zero, variance one and
infinite fourth moments. Precisely, we show that for $p/n\to \gamma\in (0,1)$
as $n,p\to \infty$ the logarithmic law \begin{equation*} \frac{\log \det
\mathbf{R} -(p-n+\frac{1}{2})\log(1-p/n)+p-p/n}{\sqrt{-2\log(1-p/n)- 2 p/n}}
\overset{d}{\rightarrow} N(0,1)\, \end{equation*} is still valid if the entries
of the data matrix $\mathbf{X}$ follow a symmetric distribution with a
regularly varying tail of index $\alpha\in (3,4)$. The latter assumptions seem
to be crucial, which is justified by the simulations: if the entries of
$\mathbf{X}$ have the infinite absolute third moment and/or their distribution
is not symmetric, the logarithmic law is not valid anymore. The derived results
highlight that the logarithmic determinant of the sample correlation matrix is
a very stable and flexible statistic for heavy-tailed big data and open a novel
way of analysis of high-dimensional random matrices with self-normalized
entries.",['math.PR'],2021-12-31,"['Johannes Heiny', 'Nestor Parolya']"
7,"Stability of the Type IIA flow and its applications in symplectic
  geometry","In this paper the dynamical stability of the Type IIA flow with no source
near its stationary points is established. These stationary points had been
shown previously by the authors to be Ricci-flat K\""ahler metrics on Calabi-Yau
3-folds. The dynamical stability of the Type IIA flow is then applied to prove
the stability under symplectic deformations of the K\""ahler property for
Calabi-Yau 3-folds.","['math.DG', 'hep-th', 'math-ph', 'math.AP', 'math.MP', 'math.SG']",2021-12-31,"['Teng Fei', 'Duong H. Phong', 'Sebastien Picard', 'Xiangwen Zhang']"
8,"Collapsing-ring blowup solutions for the Keller-Segel system in three
  dimensions and higher","We consider the parabolic-elliptic Keller-Segel system in three dimensions
and higher, corresponding to the mass supercritical case. We construct
rigorously a solution which blows up in finite time by having its mass
concentrating near a ring that shrinks to a point. In particular, the
singularity is of type II, non self-similar. We show the stability of this
dynamics among spherically symmetric solutions. In renormalised variables, the
solution ressembles a traveling wave imploding at the origin, and this, to our
knowledge, is the first stability result for such phenomenon for an evolution
PDE. We develop a framework to handle the interactions between the two blowup
zones contributing to the mechanism: a thin inner zone around the ring where
viscosity effects occur, and an outer zone where the evolution is mostly
inviscid.",['math.AP'],2021-12-31,"['Charles Collot', 'Tej-Eddine Ghoul', 'Nader Masmoudi', 'Van Tien Nguyen']"
9,"The conditional measures for the determinantal point process with the
  Bergman kernel","This note gives an explicit description of conditional measures for the
determinantal point process with the Bergman kernel.","['math.PR', 'math-ph', 'math.DS', 'math.FA', 'math.MP']",2021-12-31,['Alexander I. Bufetov']
