,abstract,Field
0,"The existence of black hole horizons has not been strictly proven
observationally, and indeed it may not be possible to do so. However,
alternatives may be established by the observation of gravitational wave echoes
that probe possible near-horizon structure. These echoes are proposed to be
generated in exotic compact objects that are horizonless and feature a
partially reflecting ""wall"" inside their light rings, creating a cavity in
which gravitational perturbations may echo, while leaking out through the
angular momentum barrier with each pass. The characteristic signature of echoes
is a comb of nearly evenly spaced spectral resonances. While approximately
true, deviations from this simple picture can lead to severe observational
signal losses. In this paper, we explore such subtleties with the latest
results for echo sourcing and geometry. A physically motivated echo model is
then developed as a sum over Lorentzian spectral lines, parametrized by
functions of the horizon frame frequency and the size of the cavity. Our final
spectrum is a function of only the mass and spin of the black hole, as well as
the UV scale of the near-horizon physics. We then apply this model in a search
for echoes in the gravitational wave event with the loudest ringdown signal in
LIGO/Virgo, i.e. GW190521. We interpret our findings as a measurement of the
fractional energy in post-merger echoes equal to $E_{echoes} / E_{GR} = 8.9 \pm
4.5\%$, where the uncertainty range represents the 90% credible region. The
robustness of this result is tested against noise backgrounds and simulated
injections, and we find that a signal persists through modifications to the
model and changes in the data search.",0
1,"It is widely believed that Hawking radiation originates from excitations near
the horizons of black holes. However, Giddings proposed that the Hawking
radiation spectrum that characterizes evaporating semi-classical black holes
originates from a quantum atmosphere, which extends beyond the horizon of a
black hole. Although several research projects have been conducted in this
field, they have not yet taken into account the effect of R\'enyi entropy. In
the present article, we will therefore consider the effect of R\'enyi entropy
on Hawking radiation power. We assume that if the effect of R\'enyi entropy is
very small, we suggest that the Hawking radiation should originate from the
quantum atmosphere which extends beyond the black hole's horizon for finite
dimensions. That is, that Giddings' suggestion is the more likely of the above
possibilities. However, for infinite dimensions, both suggestions are equally
credible. We briefly consider the very large effect of R\'enyi entropy on
Hawking radiation power as well. We find that if the effect of R\'enyi entropy
is very large and {\omega}/T_{BH} is very small, then the power spectral
density S_R is proportional to the power spectral density S_{BH}.",0
2,"Serial Femtosecond Crystallography at the X-ray Free Electron Laser (XFEL)
sources enabled the imaging of the catalytic intermediates of the oxygen
evolution reaction of Photosystem II. However, due to the incoherent transition
of the S-states, the resolved structures are a convolution from different
catalytic states. Here, we train Decision Tree Classifier and K-mean clustering
models on Mn compounds obtained from the Cambridge Crystallographic Database to
predict the S-state of the X-ray, XFEL, and CryoEm structures by predicting the
Mn's oxidation states in the oxygen evolving complex (OEC). The model agrees
mostly with the XFEL structures in the dark S1 state. However, significant
discrepancies are observed for the excited XFEL states (S2, S3, and S0) and the
dark states of the X-ray and CryoEm structures. Furthermore, there is a
mismatch between the predicted S-states within the two monomers of the same
dimer, mainly in the excited states. The model suggests that improving the
resolution is crucial to precisely resolve the geometry of the illuminated
S-states to overcome the noncoherent S-state transition. In addition,
significant radiation damage is observed in X-ray and CryoEM structures,
particularly at the dangler Mn center (Mn4). Our model represents a valuable
tool for investigating the electronic structure of the catalytic metal cluster
of PSII to understand the water splitting mechanism.",0
3,"The compositional, as well as structural asymmetries in Janus transition
metal dichalcogenides (J-TMDs) and their van der Waals heterostructures (vdW
HSs), induce an intrinsic Rashba spin-splitting. We investigate the variation
of band-gaps and Rashba parameters in three different Janus heterostructures
having AB-stacked MoXY/WXY (X, Y = S, Se, Te; X$\neq$Y) geometry with Y-Y
interface, using first-principles calculations. We consider the effect of
external electric field and in-plane biaxial strain in tuning the strength of
the intrinsic electric field, which leads to remarkable modifications of the
band-gap and the Rashba spin-splitting. In particular, it is found that the
positive applied field and compressive in-plane biaxial strain can lead to a
notable increase in the Rashba spin-splitting of the valence bands about the
$\Gamma$-point. Moreover, our \textit{ab-initio} calculations reveal the
existence of a type-II band alignment in these heterostructures, which remains
robust under positive external field and biaxial strain. These suggest novel
ways of engineering the electronic, optical, and spin properties of J-TMD van
der Waals heterostructures holding a huge promise in spintronic and
optoelectronic devices.",0
4,"We revisit the problem of the two-dimensional spatiotemporal linear stability
of viscoelastic slender jets obeying linear Phan-Thien-Tanner (PTT) stress
constitutive equation, and investigate the role of finite stresses on the
elasto-capilliary stability of the Beads-on-a-String (BOAS) structure
(structures which include the formation of very thin filament between drops)
and identify the regions of topological transition of the advancing jet
interface, in the limit of low to moderate Ohnesorge number ($Oh$) and high
values of Weissenberg number ($We$). The Briggs idea of analytic continuation
\{previously elucidated in the nonaffine response regime [Bansal, Ghosh and
Sircar, ``Spatiotemporal linear stability of viscoelastic free shear flows:
Nonaffine response regime'', Phys. Fluids {\bf 33}, 054106 (2021)]\} is
deployed to classify regions of temporal stability and absolute and convective
instabilities, as well as evanescent modes, and the results are compared with
previously conducted experiments for viscoelastic filaments. The impact of the
finite stresses are evident in the form of strain-hardening ensuing in lower
absolute growth rates, relatively rapid drainage and finite-time pinch-off. The
phase diagrams reveal the influence of (a) capillary force stabilization at
infinitesimally small values of $Oh$, and (b) inertial stabilization at
significantly larger values of $Oh$.",0
5,"At the KATRIN experiment, the electron neutrino mass is inferred from the
shape of the $\beta$-spectrum of tritium. Important systematic effects in the
Windowless Gaseous Tritium Source (WGTS) of the experiment include the energy
loss by electron scattering, and the extended starting potential. In the WGTS,
primary high-energy electrons from $\beta$-decay produce an extended secondary
spectrum of electrons through various atomic and molecular processes including
ionization, recombination, cluster formation and scattering. This electron
spectrum plays a role in understanding electron energy loss processes, but also
for the simulation of plasma processes. These simulations will then provide an
insight on the starting potential. Here, a Monte Carlo approach is used to
model the electron spectrum for a given magnetic and electric field
configuration. The spectrum is evaluated at different positions within the
WGTS, which allows for a direct analysis of the spectrum close to rear wall and
detector end of the experiment. Alongside electrons, also ions are tracked by
the simulation.",0
6,"The study of 2-dimensional surfaces of constant curvature constitutes a
beautiful branch of geometry with well-documented ties to the mathematical
physics of integrable systems. A lesser known, but equally fascinating, fact is
its connection to 2-dimensional gravity; specifically Jackiw-Teitelboim (JT)
gravity, where the connection manifests through a coordinate choice that
roughly speaking re-casts the gravitational field equations as the sine-Gordon
equation. In this language many well-known results, such as the JT-gravity
black hole and its properties, were understood in terms of sine-Gordon solitons
and their properties. In this brief note, we revisit these ideas in the context
of some of the recent exciting developments in JT-gravity and, more generally,
low-dimensional quantum gravity and speculate on how some of these new ideas
may be similarly understood.",0
7,"As is common with the collection of astronomical data, signals are frequently
dominated by noise. However, when performing FTs of light curves, re-binning
data can improve the signal-to-noise ratio (SNR) at lower frequencies. Using
data collected from the Kepler space telescope, we sequentially re-binned data
three times to investigate the SNR improvement of lower frequency (< 17
microHz) variability in white dwarf KIC 8626021. We found that the SNR at
approximately 5.8 microHz greatly improved through this process, and we
postulate that this frequency is linked to the rotation of KIC 8626021.",0
8,"We investigate the basic properties of Hawking radiation for spherical
solutions in $D = 4$ double field theory. We give the expression of the Hawking
temperature for the solution and then discuss the results of various limits. We
find that for all these limits only Schwarzschild solution and F-JNW solution
can generate Hawking radiation. Moreover, we obtain the lower bound on greybody
factors $\sigma_l(\omega)$ for the spherical solutions in $D = 4$ double field
theory. In particular, we calculate the bound on greybody factors
$\sigma_l(\omega)$ for F-JNW solution. For F-JNW solution, $\sigma_l(\omega)$
monotonically increases with the increase of $a(b)$ for fixed $b(a)$.",0
9,"The relation between genuine multipartite entanglement in the pure state of a
collection of N qubits and the nonclassical correlations in its two-qubit
subsystems is studied. Quantum discord is used as the quantifier of
nonclassical correlations in the subsystem while the generalised geometric
measure (GGM) [Phys. Rev. A. 81, 012308 (2010)] is used to quantify global
entanglement in the N-qubit state. While no definite discernible dependence
between the two can be found for randomly generated global states, for those
with additional structure like weighted graph states we find that local discord
is indicative of global multipartite entanglement. Global states that admit
efficient classical descriptions like stabilizer states furnish an exception in
which despite multipartite entanglement, nonclassical correlation is absent in
two qubit subsystems. We discuss these results in the context of mixed state
quantum computation where nonclassical correlation is considered a candidate
resource that enables exponential speedup over classical computers.",0
